CODMUNRES,ANO,OBITOS_PERINATAIS,OBITOS_NEONATAIS,OBITOS_INFANTIS,OBITOS_TOTAIS
130353,2017,0,0,5,84
130353,2018,0,0,8,108
130353,2019,0,0,9,120
130356,2012,0,0,5,73
130356,2013,0,0,4,55
130356,2014,0,0,12,86
130356,2015,0,0,4,89
130356,2016,0,0,10,72
130356,2017,0,0,2,98
130356,2018,0,0,3,85
130356,2019,0,0,9,103
130360,2012,0,4,5,45
130360,2013,0,0,11,57
130360,2014,0,0,6,55
130360,2015,0,0,3,43
130360,2016,0,0,9,50
130360,2017,0,0,8,60
130360,2018,0,0,10,67
130360,2019,0,0,5,45
130370,2012,0,0,23,71
130370,2013,0,1,11,61
130370,2014,0,1,14,77
130370,2015,1,2,11,51
130370,2016,0,0,12,70
130370,2017,0,1,11,79
130370,2018,0,0,8,65
130370,2019,0,0,14,82
130380,2012,0,1,39,231
130380,2013,0,1,42,247
130380,2014,0,0,37,257
130380,2015,0,0,39,248
130380,2016,0,1,43,250
130380,2017,0,2,40,257
130380,2018,0,1,33,294
130380,2019,0,2,27,252
130390,2012,1,2,31,111
130390,2013,0,0,29,110
130390,2014,0,1,31,120
130390,2015,0,1,22,102
130390,2016,0,0,18,90
130390,2017,0,0,18,100
130390,2018,1,0,26,126
130390,2019,1,1,21,103
130395,2012,0,0,5,23
130395,2013,0,0,1,16
130395,2014,0,0,4,29
130395,2016,0,0,4,32
130395,2017,0,0,4,23
130395,2018,0,0,1,23
130395,2019,0,1,1,26
130400,2012,0,0,5,37
130400,2013,1,0,5,25
130400,2014,0,0,3,22
130400,2015,0,0,2,22
130400,2016,0,0,2,29
130400,2017,0,1,1,29
130400,2018,0,0,4,30
130400,2019,0,0,5,39
130406,2012,0,0,35,214
130406,2013,0,1,45,266
130406,2014,0,1,37,230
130406,2015,0,1,30,200
130406,2016,1,3,37,239
130406,2017,1,1,37,222
130406,2018,0,1,30,242
130406,2019,3,0,39,302
130410,2012,0,0,10,55
130410,2013,0,0,9,61
130410,2014,0,0,2,48
130410,2015,0,0,10,60
130410,2016,0,0,8,61
130410,2017,0,1,11,72
130410,2018,0,0,10,69
130410,2019,0,0,5,58
130420,2012,0,0,40,227
130420,2013,1,0,32,207
130420,2014,0,1,25,231
