CODMUNRES,ANO,AVG_PM25,MIN_PM25,MAX_PM25,BAIXO_PESO,TOTAL,OBITOS_PERINATAIS,OBITOS_NEONATAIS,OBITOS_INFANTIS,OBITOS_TOTAIS,IDH
110110,2015,39.762397179226966,0.0,1487.199951171875,4,111,,,,,0.614
110110,2016,29.692945243076306,0.0,1901.4000244140625,9,129,0,0,1,36,0.614
110110,2017,42.76719173533868,0.0,1747.0999755859375,6,91,0,0,2,40,0.614
110110,2018,38.69711531185965,0.0,2237.0,9,90,,,,,0.614
110110,2019,23.29123292440829,0.0,281.70001220703125,3,108,,,,,0.614
110120,2012,11.919438742901837,0.0,87.5,6,100,0,0,4,39,0.638
110120,2013,10.425120434239865,0.0,74.5999984741211,5,102,0,0,3,61,0.638
110120,2014,12.838999321999577,0.0,73.5,3,107,0,0,4,47,0.638
110120,2015,18.124433769287723,0.0,468.20001220703125,6,92,0,0,1,48,0.638
110120,2016,14.122321428925536,0.0,122.5,8,91,,,,,0.638
110120,2017,16.830911585393427,0.0,230.1999969482422,8,97,,,,,0.638
110120,2018,16.85887209929659,0.0,234.10000610351562,4,92,1,0,1,46,0.638
110120,2019,16.05253776135268,0.0,95.5,5,77,,,,,0.638
110130,2012,11.849110800202135,0.0,88.0999984741211,10,144,0,0,4,53,0.643
110130,2013,9.838360887272257,0.0,56.79999923706055,6,120,0,0,2,54,0.643
110130,2014,12.092054796157635,0.0,97.5999984741211,5,130,0,0,1,47,0.643
110130,2015,17.058710531115697,0.0,101.0999984741211,12,169,0,0,2,57,0.643
110130,2016,14.86886145310944,0.0,196.60000610351562,14,147,0,0,2,52,0.643
110130,2017,16.445616418220204,0.0,245.39999389648438,3,152,0,0,2,70,0.643
110130,2018,19.83997260818033,0.0,1683.800048828125,14,156,0,0,1,55,0.643
110130,2019,18.403698636070914,0.0,297.20001220703125,11,158,0,0,1,62,0.643
110140,2012,17.441353458822057,0.0,409.1000061035156,4,162,0,0,1,45,0.607
110140,2013,11.588789544174604,0.0,202.8000030517578,8,220,0,0,4,60,0.607
110140,2014,18.44835607182898,0.0,780.0,6,196,0,0,1,62,0.607
110140,2015,26.592054806874224,0.0,503.79998779296875,16,239,1,0,3,69,0.607
110140,2016,22.823593984159995,0.0,621.0,8,171,0,0,2,54,0.607
110140,2017,25.238424622303206,0.0,498.29998779296875,8,194,0,0,2,62,0.607
110140,2018,25.866620899413476,0.0,917.5,13,213,0,0,2,66,0.607
110140,2019,21.169315083610684,0.10000000149011612,412.20001220703125,14,196,0,0,2,98,0.607
110143,2012,11.943228455777655,0.0,94.5,5,89,,,,,0.587
110143,2013,9.888659814379059,0.0,63.29999923706055,1,82,0,0,3,20,0.587
110143,2014,12.117534246586569,0.0,101.80000305175781,1,109,0,0,1,28,0.587
110143,2015,17.104873022950507,0.0,104.19999694824219,6,72,0,0,2,30,0.587
110143,2016,14.687362651233203,0.0,193.5,5,89,0,0,1,35,0.587
110143,2017,16.654794548329424,0.0,248.60000610351562,6,93,,,,,0.587
