populacao,municipio
18391,2904704
21067,2904753
7043,2904803
18698,2904852
33861,2904902
23045,2905008
9372,2905107
15524,2905156
50861,2905206
18356,2905305
17913,2905404
13260,2905503
31968,2905602
293723,2905701
35248,2905800
28844,2905909
70912,2906006
9719,2906105
26020,2906204
31301,2906303
8338,2906402
86677,2906501
14268,2906600
25332,2906709
34784,2906808
16752,2906824
11660,2906857
30451,2906873
9107,2906899
21937,2906907
9240,2907004
28965,2907103
71366,2907202
26209,2907301
3555,2907400
54424,2907509
9340,2907558
17252,2907608
11154,2907707
33356,2907806
17097,2907905
17458,2908002
18746,2908101
22392,2908200
17332,2908309
66191,2908408
32909,2908507
25630,2908606
17319,2908705
4086,2908804
22719,2908903
8585,2909000
14240,2909109
15801 ,2909208
32081,2909307
13796,2909406
5349,2909505
21040,2909604
13872,2909703
62871,2909802
34389,2909901
10906,2910008
79685,2910057
12155,2910107
4050,2910206
8119,2910305
17593,2910404
41654,2910503
36882,2910602
59842,2910701
112318,2910727
17601,2910750
5668,2910776
609913,2910800
16410,2910859
5604,2910909
10686,2911006
25311,2911105
32202,2911204
4487,2911253
11206,2911303
15208,2911402
7276,2911501
20679,2911600
7239,2911659
84014,2911709
20991,2911808
13076 ,2911857
24496,2911907
9427 ,2912004
22014,2912103
19346,2912202
16162,2912301
18097,2912400
14856,2912509
4043,2912608
23343,2912707
8581,2912806
15760,2912905
16272,2913002
17150,2913101
26846,2913200
6194,2913309
